iter	Passed	Remaining
958	3593	153
959	3595	149
960	3597	145
961	3599	142
962	3602	138
963	3608	134
964	3611	130
965	3614	127
966	3620	123
967	3622	119
968	3626	116
969	3628	112
970	3638	108
971	3640	104
972	3643	101
973	3647	97
974	3651	93
975	3653	89
976	3656	86
977	3661	82
978	3665	78
979	3667	74
980	3669	71
981	3672	67
982	3676	63
983	3678	59
984	3680	56
985	3682	52
986	3684	48
987	3691	44
988	3695	41
989	3697	37
990	3700	33
991	3703	29
992	3707	26
993	3710	22
994	3713	18
995	3719	14
996	3723	11
997	3725	7
998	3728	3
999	3734	0
