iter	Passed	Remaining
548	3075	2526
549	3078	2519
550	3087	2515
551	3091	2509
552	3098	2504
553	3103	2498
554	3106	2490
555	3111	2484
556	3115	2477
557	3118	2470
558	3123	2464
559	3128	2458
560	3133	2452
561	3141	2448
562	3156	2450
563	3160	2443
564	3170	2441
565	3174	2433
566	3177	2426
567	3180	2419
568	3185	2413
569	3189	2405
570	3193	2399
571	3195	2391
572	3202	2386
573	3206	2379
574	3209	2372
575	3213	2365
576	3216	2358
577	3220	2351
578	3224	2344
579	3231	2340
580	3235	2333
581	3241	2327
582	3251	2325
583	3255	2318
584	3262	2314
585	3268	2309
586	3276	2305
587	3280	2298
588	3283	2291
589	3289	2285
590	3296	2281
591	3300	2274
592	3304	2268
593	3308	2261
594	3313	2255
595	3317	2248
596	3324	2244
597	3328	2237
598	3332	2230
599	3342	2228
600	3347	2222
601	3356	2219
602	3360	2212
603	3364	2205
604	3370	2200
605	3375	2194
606	3378	2187
607	3384	2182
608	3388	2175
609	3391	2168
610	3394	2161
611	3401	2156
612	3409	2152
613	3416	2147
614	3423	2143
615	3456	2154
616	3461	2148
617	3464	2141
618	3467	2134
619	3471	2127
620	3476	2122
621	3480	2115
622	3483	2107
623	3486	2100
624	3493	2096
625	3497	2089
626	3501	2082
627	3507	2077
628	3509	2070
629	3512	2063
630	3515	2056
631	3521	2050
632	3524	2043
633	3527	2036
634	3530	2029
635	3534	2023
636	3537	2016
637	3540	2008
638	3542	2001
639	3547	1995
640	3550	1988
641	3554	1981
642	3557	1975
643	3563	1970
644	3566	1963
645	3570	1956
646	3573	1949
647	3578	1943
648	3581	1937
649	3586	1931
650	3592	1925
651	3598	1920
652	3601	1913
653	3605	1907
654	3609	1901
655	3613	1894
656	3620	1890
657	3624	1884
658	3628	1877
659	3634	1872
660	3637	1865
661	3641	1859
662	3647	1854
663	3651	1847
664	3654	1840
665	3657	1834
666	3663	1829
667	3666	1822
668	3669	1815
669	3673	1809
670	3679	1804
671	3683	1797
672	3687	1791
673	3693	1786
674	3697	1780
675	3701	1774
676	3708	1769
677	3711	1762
678	3714	1756
679	3718	1750
680	3725	1745
681	3727	1738
682	3729	1731
683	3732	1724
684	3738	1718
685	3740	1712
686	3744	1705
687	3748	1699
688	3753	1694
689	3756	1687
690	3760	1681
691	3764	1675
692	3769	1669
693	3773	1663
694	3776	1657
695	3778	1650
696	3783	1644
697	3787	1638
698	3791	1632
699	3796	1627
700	3800	1620
701	3804	1614
702	3812	1610
703	3817	1605
704	3825	1600
